аэропорты, аэропОрты, аэропортЫ
банты, бАнты, бантЫ
бороду, бОроду, бородУ
бухгалтеров, бухгАлтеров, бухгалтерОв
вероисповедание, вероисповЕдание, вероисповедАние
водопровод, водопровОд, водопрОвод
газопровод, газопровОд, газопрОвод
гражданство, граждАнство, грАжданство
дефис, дефИс, дЕфис
дешевизна, дешевИзна, дешевизнА
диспансер, диспансЕр, диспАнсер
договоренность, договорЕнность, догОворенность
документ, докумЕнт, докУмент
досуг, досУг, дОсуг
еретик, еретИк, ерЕтик
жалюзи, жалюзИ, жАлюзи
значимость, знАчимость, значИмость
иксы, Иксы, иксЫ
каталог, каталОг, катАлог
квартал, квартАл, квАртал
километр, киломЕтр, килОметр
конусов, кОнусов, конусОв
корысть, корЫсть, кОрысть
краны, крАны, кранЫ
кремень, кремЕнь, крЕмень
кремня, кремнЯ, крЕмня
лекторов, лЕкторов, лекторОв
лектор, лЕктор, лектОр
локтя, лОктя, локтЯ
локоть, лОкоть, локОть
локтей, локтЕй, лОктей
лыжня, лыжнЯ, лЫжня
местностей, мЕстностей, местностЕй
местность, мЕстность, местнОсть
намерение, намЕрение, намерЕние
нарост, нарОст, нАрост
недруг, нЕдруг, недрУг
недуг, недУг, нЕдуг
некролог, некролОг, некрОлог
ненависть, нЕнависть, ненавИсть
нефтепровод, нефтепровОд, нефтепрОвод
новостей, новостЕй, нОвостей
ногтя, нОгтя, ногтЯ
ногтей, ногтЕй, нОгтей
отзыв (о книге), Отзыв (о книге), отзЫв (о книге)
отзыв (посла из страны), отзЫв (посла из страны), Отзыв (посла из страны)
отрочество, Отрочество, отрОчество
партер, партЕр, пАртер
портфель, портфЕль, пОртфель
поручни, пОручни, порУчни
приданое, придАное, прИданое
призыв, призЫв, прИзыв
свекла, свекла, свеклА
сироты, сирОты, сИроты
сирота, сиротА, сИрота
созыв, созЫв, сОзыв
сосредоточение, сосредотОчение, сосредоточЕние
средства, срЕдства, средствА
средство, срЕдство, средствО
статуя, стАтуя, статУя
столяр, столЯр, стОляр
таможня, тамОжня, таможнЯ
торты, тОрты, тортЫ
туфля, тУфля, туфлЯ
цемент, цемЕнт, цЕмент
центнер, цЕнтнер, центнЕр
цепочка, цепОчка, цЕпочка
шарфы, шАрфы, шарфЫ
шофер, шофEр, шОфер
эксперт, экспЕрт, Эксперт
верна, вернА, вЕрна
верный, вЕрный, вернЫй
значимый, знАчимый, значимЫй
красивее, красИвее, красивЕе
красивый, красИвый, крАсивый
красивейший, красИвейший, крАсивейший
кухонный, кУхонный, кухОнный
ловка, ловкА, лОвка
ловкий, лОвкий, ловкИй
мозаичный, мозаИчный, мозАичный
оптовый, оптОвый, Оптовый
прозорливый, прозорлИвый, прозОрливый
прозорлива, прозорлИва, прозОрлива
сливовый, слИвовый, сливОвый
брала, бралА, брАла
бралась, бралАсь, брАлась
браться, брАться, братьсЯ
взяла, взялА, взЯла
взялась, взялАсь, взЯлась
взяться, взЯться, взятьсЯ
влилась, влилАсь, влИлась
